eid,pid,target_prefix,status,error,n_trials,n_units,n_contrasts,contrast_counts,seed,min_trials,alpha,balanced_test_mse,balanced_test_r2
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,ok,,653,13,9,"{""-1.0"": 76, ""-0.25"": 88, ""-0.125"": 91, ""-0.0625"": 73, ""0.0"": 71, ""0.0625"": 68, ""0.125"": 66, ""0.25"": 59, ""1.0"": 61}",0,10,1.0,0.24599586493629083,-0.023058615186306808
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,ok,,688,58,9,"{""-1.0"": 64, ""-0.25"": 64, ""-0.125"": 67, ""-0.0625"": 54, ""0.0"": 83, ""0.0625"": 87, ""0.125"": 83, ""0.25"": 90, ""1.0"": 96}",0,10,1.0,0.2599644521140003,-0.08115180084956086
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,VISp,ok,,692,146,9,"{""-1.0"": 70, ""-0.25"": 82, ""-0.125"": 64, ""-0.0625"": 79, ""0.0"": 84, ""0.0625"": 69, ""0.125"": 73, ""0.25"": 85, ""1.0"": 86}",0,10,1.0,0.694933716729847,-1.8901214500822525
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,cc9d666c-6fe5-418d-9b37-114428d25454,VISp,ok,,655,134,9,"{""-1.0"": 62, ""-0.25"": 62, ""-0.125"": 66, ""-0.0625"": 52, ""0.0"": 80, ""0.0625"": 80, ""0.125"": 77, ""0.25"": 84, ""1.0"": 92}",0,10,1.0,0.37742300960075464,-0.5696437077980845
872ce8ff-9fb3-485c-be00-bc5479e0095b,625a7bc9-00cf-44f6-a508-3ed89d23ba3a,VISp,ok,,443,120,9,"{""-1.0"": 54, ""-0.25"": 51, ""-0.125"": 46, ""-0.0625"": 64, ""0.0"": 47, ""0.0625"": 40, ""0.125"": 43, ""0.25"": 50, ""1.0"": 48}",0,10,1.0,0.6992854134243103,-1.9082194811003803
b22f694e-4a34-4142-ab9d-2556c3487086,8b735d77-b77b-4243-8821-37802bf402fe,VISp,ok,,433,429,9,"{""-1.0"": 41, ""-0.25"": 44, ""-0.125"": 41, ""-0.0625"": 34, ""0.0"": 46, ""0.0625"": 58, ""0.125"": 61, ""0.25"": 52, ""1.0"": 56}",0,10,1.0,0.4625352898462041,-0.9236124689632754
a7763417-e0d6-4f2a-aa55-e382fd9b5fb8,769b42dc-acf3-4079-b09e-ec979568d297,VISp,ok,,972,267,9,"{""-1.0"": 109, ""-0.25"": 84, ""-0.125"": 105, ""-0.0625"": 105, ""0.0"": 130, ""0.0625"": 115, ""0.125"": 109, ""0.25"": 105, ""1.0"": 110}",0,10,1.0,2.4927923625677817,-9.367136468151928
dc21e80d-97d7-44ca-a729-a8e3f9b14305,176b4fe3-f570-4d9f-9e25-a5d218f75c8b,VISp,ok,,1111,41,9,"{""-1.0"": 112, ""-0.25"": 122, ""-0.125"": 118, ""-0.0625"": 129, ""0.0"": 142, ""0.0625"": 121, ""0.125"": 116, ""0.25"": 133, ""1.0"": 118}",0,10,1.0,0.24300167227307304,-0.01060623270245542
09394481-8dd2-4d5c-9327-f2753ede92d7,da57bb3a-b0f2-465d-a5fc-cc84341450b0,VISp,ok,,912,32,9,"{""-1.0"": 112, ""-0.25"": 117, ""-0.125"": 123, ""-0.0625"": 100, ""0.0"": 102, ""0.0625"": 93, ""0.125"": 93, ""0.25"": 84, ""1.0"": 88}",0,10,1.0,0.2530989756364669,-0.05259934993938553
58b1e920-cfc8-467e-b28b-7654a55d0977,1f555fc6-5067-428b-a284-da6fb0b6b3a0,VISp,ok,,728,146,9,"{""-1.0"": 68, ""-0.25"": 91, ""-0.125"": 96, ""-0.0625"": 85, ""0.0"": 83, ""0.0625"": 76, ""0.125"": 77, ""0.25"": 76, ""1.0"": 76}",0,10,1.0,0.36674543104001395,-0.525237316094209
86b6ba67-c1db-4333-add0-f8105ea6e363,,VISp,failed,RuntimeError('Only 1 VISp units; requires 5'),,,,,0,10,1.0,,
952870e5-f2a7-4518-9e6d-71585460f6fe,19137f8d-0f3b-4923-93ad-f741758e1b2e,VISp,ok,,906,110,9,"{""-1.0"": 91, ""-0.25"": 119, ""-0.125"": 107, ""-0.0625"": 108, ""0.0"": 99, ""0.0625"": 93, ""0.125"": 96, ""0.25"": 103, ""1.0"": 90}",0,10,1.0,0.24435967561083582,-0.01625395777502847
2584ce3c-db10-4076-89cb-5d313138dd38,b114e7e0-92b3-43bb-9529-53860e52606d,VISp,ok,,712,451,9,"{""-1.0"": 91, ""-0.25"": 79, ""-0.125"": 74, ""-0.0625"": 89, ""0.0"": 75, ""0.0625"": 92, ""0.125"": 68, ""0.25"": 78, ""1.0"": 66}",0,10,1.0,1.254850408673393,-4.218728053399815
9a6e127b-bb07-4be2-92e2-53dd858c2762,,VISp,failed,RuntimeError('Only 3 VISp units; requires 5'),,,,,0,10,1.0,,
b887df2c-bb9c-44c9-a9c0-538da87b2cab,,VISp,failed,RuntimeError('Only 3 VISp units; requires 5'),,,,,0,10,1.0,,
d901aff5-2250-467a-b4a1-0cb9729df9e2,12c0f3a9-518e-4dac-9651-5d95c2b4730f,VISp,ok,,458,141,9,"{""-1.0"": 56, ""-0.25"": 46, ""-0.125"": 49, ""-0.0625"": 59, ""0.0"": 54, ""0.0625"": 60, ""0.125"": 38, ""0.25"": 53, ""1.0"": 43}",0,10,1.0,0.3056833907519938,-0.2712897694812162
e0928e11-2b86-4387-a203-80c77fab5d52,799d899d-c398-4e81-abaf-1ef4b02d5475,VISp,ok,,474,166,9,"{""-1.0"": 50, ""-0.25"": 51, ""-0.125"": 56, ""-0.0625"": 47, ""0.0"": 59, ""0.0625"": 43, ""0.125"": 55, ""0.25"": 71, ""1.0"": 42}",0,10,1.0,0.4575233693490085,-0.9027686696391981
7cc74598-9c1b-436b-84fa-0bf89f31adf6,27109779-1b15-4d74-893f-08216d231307,VISp,ok,,526,56,9,"{""-1.0"": 51, ""-0.25"": 52, ""-0.125"": 51, ""-0.0625"": 42, ""0.0"": 61, ""0.0625"": 65, ""0.125"": 66, ""0.25"": 66, ""1.0"": 72}",0,10,1.0,0.3014157950241796,-0.253541501327996
5c0c560e-9e1f-45e9-b66e-e4ee7855be84,d5e5311c-8beb-4f8f-b798-3e9bfa6bcdd8,VISp,ok,,1099,490,9,"{""-1.0"": 121, ""-0.25"": 101, ""-0.125"": 107, ""-0.0625"": 96, ""0.0"": 132, ""0.0625"": 140, ""0.125"": 127, ""0.25"": 141, ""1.0"": 134}",0,10,1.0,2.05292089758173,-7.5377793285709505
f56194bc-8215-4ae8-bc6a-89781ad8e050,18d316bf-d322-4c5c-814e-a58147f7bf5f,VISp,ok,,696,194,9,"{""-1.0"": 82, ""-0.25"": 71, ""-0.125"": 65, ""-0.0625"": 78, ""0.0"": 84, ""0.0625"": 76, ""0.125"": 85, ""0.25"": 80, ""1.0"": 75}",0,10,1.0,0.4971045931295072,-1.0673808349645926
642c97ea-fe89-4ec9-8629-5e492ea4019d,b72b22c2-6e9d-4604-9910-20c0e1a467d7,VISp,ok,,489,504,9,"{""-1.0"": 53, ""-0.25"": 49, ""-0.125"": 64, ""-0.0625"": 58, ""0.0"": 56, ""0.0625"": 49, ""0.125"": 54, ""0.25"": 57, ""1.0"": 49}",0,10,1.0,1.6655097870621463,-5.926596659550877
caa5dddc-9290-4e27-9f5e-575ba3598614,4836a465-c691-4852-a0b1-dcd2b1ce38a1,VISp,ok,,404,182,9,"{""-1.0"": 35, ""-0.25"": 38, ""-0.125"": 45, ""-0.0625"": 35, ""0.0"": 46, ""0.0625"": 50, ""0.125"": 50, ""0.25"": 50, ""1.0"": 55}",0,10,1.0,1.1608111826864462,-3.8276335106670976
c4432264-e1ae-446f-8a07-6280abade813,63a32e5c-f63a-450d-85cb-140947b67eaf,VISp,ok,,848,40,9,"{""-1.0"": 92, ""-0.25"": 77, ""-0.125"": 92, ""-0.0625"": 92, ""0.0"": 110, ""0.0625"": 99, ""0.125"": 98, ""0.25"": 90, ""1.0"": 98}",0,10,1.0,0.26899128141963996,-0.11869298265496475
09b2c4d1-058d-4c84-9fd4-97530f85baf6,b78b3c42-eee5-47c6-9717-743b78c0b721,VISp,ok,,598,264,9,"{""-1.0"": 55, ""-0.25"": 59, ""-0.125"": 61, ""-0.0625"": 47, ""0.0"": 71, ""0.0625"": 70, ""0.125"": 74, ""0.25"": 76, ""1.0"": 85}",0,10,1.0,1.1000601123996836,-3.574979240016014
239dd3c9-35f3-4462-95ee-91b822a22e6b,1f5d62cb-814f-4ab2-b6af-7557ea04d56a,VISp,ok,,414,236,9,"{""-1.0"": 35, ""-0.25"": 39, ""-0.125"": 45, ""-0.0625"": 35, ""0.0"": 49, ""0.0625"": 52, ""0.125"": 51, ""0.25"": 51, ""1.0"": 57}",0,10,1.0,2.725358390222693,-10.334342474861163
7dd27c2f-9544-448d-918d-be0f9837b0e0,d3507787-60c8-4cea-a61e-0c708b4361d8,VISp,ok,,525,95,9,"{""-1.0"": 62, ""-0.25"": 59, ""-0.125"": 51, ""-0.0625"": 70, ""0.0"": 59, ""0.0625"": 50, ""0.125"": 50, ""0.25"": 61, ""1.0"": 63}",0,10,1.0,0.35896219206357777,-0.4928680334196447
ca4ecb4c-4b60-4723-9b9e-2c54a6290a53,92822789-608f-44a6-ad64-fe549402b2df,VISp,ok,,620,232,9,"{""-1.0"": 65, ""-0.25"": 57, ""-0.125"": 76, ""-0.0625"": 69, ""0.0"": 82, ""0.0625"": 64, ""0.125"": 71, ""0.25"": 68, ""1.0"": 68}",0,10,1.0,0.8963881355384685,-2.7279391051996957
